month,year,currency,to_usd_rate
4,2020,AED,0.27229408
4,2020,ALL,0.00852515
4,2020,ARS,0.01553109
4,2020,AUD,0.60816153
4,2020,AZN,0.58948361
4,2020,BOB,0.14486665
4,2020,BRL,0.19176926
4,2020,CAD,0.7033338
4,2020,CHF,1.03512168
4,2020,CLP,0.00116769
4,2020,CNY,0.14090064
4,2020,COP,0.0002458
4,2020,CRC,0.00172239
4,2020,CZK,0.04003523
4,2020,DKK,0.14655021
4,2020,DOP,0.01827151
4,2020,EUR,1.09527826
4,2020,GBP,1.23641489
4,2020,GTQ,0.12992581
4,2020,HKD,0.12880954
4,2020,HNL,0.04038772
4,2020,HUF,0.00300815
4,2020,IDR,6.081e-05
4,2020,INR,0.01320987
4,2020,ISK,0.00702839
4,2020,JPY,0.00927386
4,2020,KRW,0.00081486
4,2020,KWD,3.19836244
4,2020,MDL,0.05494173
4,2020,MXN,0.04148861
4,2020,MYR,0.23048379
4,2020,NOK,0.09587544
4,2020,NZD,0.59241706
4,2020,PEN,0.28965357
4,2020,PHP,0.01966298
4,2020,PLN,0.23981966
4,2020,PYG,0.00015228
4,2020,RON,0.22688599
4,2020,RSD,0.00934667
4,2020,SEK,0.09969394
4,2020,SGD,0.69895855
4,2020,TRY,0.15074316
4,2020,TWD,0.03304911
4,2020,UYU,0.02283574
4,2020,VND,4.228e-05
4,2020,ZAR,0.05563592
4,2020,USD,1.0
5,2020,ALL,0.00879894
5,2020,ARS,0.01501727
5,2020,BOB,0.14490444
5,2020,GTQ,0.12971178
5,2020,HNL,0.04032421
5,2020,PYG,0.00015352
5,2020,UYU,0.02341975
5,2020,AED,0.27229408
5,2020,AUD,0.6518055
5,2020,AZN,0.58969218
5,2020,BRL,0.18513719
5,2020,CAD,0.71844242
5,2020,CHF,1.02957983
5,2020,CLP,0.00119985
5,2020,CNY,0.14166313
5,2020,COP,0.00025268
5,2020,CRC,0.0017579
5,2020,CZK,0.04008659
5,2020,DKK,0.1458066
5,2020,DOP,0.01807305
5,2020,EUR,1.0883643
5,2020,GBP,1.24845504
5,2020,HKD,0.12883443
5,2020,HUF,0.00308052
5,2020,IDR,6.664e-05
5,2020,INR,0.01328604
5,2020,ISK,0.00683387
5,2020,JPY,0.0093633
5,2020,KRW,0.00082555
5,2020,KWD,3.23206206
5,2020,MDL,0.05575628
5,2020,MXN,0.04188306
5,2020,MYR,0.23190557
5,2020,NOK,0.0969415
5,2020,NZD,0.61184533
5,2020,PEN,0.29549081
5,2020,PHP,0.01987321
5,2020,PLN,0.23953243
5,2020,RON,0.22442659
5,2020,RSD,0.00924984
5,2020,SEK,0.10166838
5,2020,SGD,0.70841598
5,2020,TRY,0.1431127
5,2020,TWD,0.03355479
5,2020,VND,4.27e-05
5,2020,ZAR,0.05478551
5,2020,USD,1.0
6,2020,AED,0.27229408
6,2020,ALL,0.00896781
6,2020,ARS,0.01463208
6,2020,AUD,0.67033114
6,2020,AZN,0.58927519
6,2020,BOB,0.14519478
6,2020,BRL,0.18661591
6,2020,CAD,0.72971395
6,2020,CHF,1.03900422
6,2020,CLP,0.00124942
6,2020,CNY,0.14015613
6,2020,COP,0.00026906
6,2020,CRC,0.00175006
6,2020,CZK,0.04132915
6,2020,DKK,0.14901575
6,2020,DOP,0.01728997
6,2020,EUR,1.11175346
6,2020,GBP,1.2370879
6,2020,GTQ,0.13077366
6,2020,HKD,0.1288195
6,2020,HNL,0.04049567
6,2020,HUF,0.00320205
6,2020,IDR,6.842e-05
6,2020,INR,0.01324205
6,2020,ISK,0.00737246
6,2020,JPY,0.00929109
6,2020,KRW,0.00081224
6,2020,KWD,3.24601552
6,2020,MDL,0.05717389
6,2020,MXN,0.04532886
6,2020,MYR,0.23095222
6,2020,NOK,0.10301844
6,2020,NZD,0.62496094
6,2020,PEN,0.29252596
6,2020,PHP,0.01984678
6,2020,PLN,0.25065169
6,2020,PYG,0.00015067
6,2020,RON,0.22941568
6,2020,RSD,0.00945895
6,2020,SEK,0.10599845
6,2020,SGD,0.70911927
6,2020,TRY,0.14665337
6,2020,TWD,0.03339344
6,2020,UYU,0.02313958
6,2020,VND,4.303e-05
6,2020,ZAR,0.05728952
6,2020,USD,1.0
